2015-03-03 19:00:02 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:00:02 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:00:02 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:00:02 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:00:02 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:05 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:05 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:05 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:05 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:05 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:05 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:09 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:09 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:09 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:09 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:09 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:09 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:14 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:14 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
